filename;academie;nom_de_l_organisme_gestionnaire;ndegfiness_de_l_etablissement_de_formation;nom_de_l_etablissement_de_formation;sigle_de_l_etablissement_de_formation;adresse_de_l_etablissement_de_formation;commune_de_l_etablissement_de_formation;code_uai_de_l_etablissement_source_onisep_data_education_gouv_fr;nom_site_de_formation;adresse_site_de_formation;adressegeoloc;dpt_site_de_formation;cp_site_de_formation;commune_site_de_formation;libelle_formation;sigle_diplome;code_diplome;niveau;duree_formation;p2023;geo
social;Paris;ASSISTEAL FORMATION;750008377;ASSISTEAL FORMATION;ASSISTEAL;50/52 boulevard de Ménilmontant 75020 PARIS;PARIS;NC;ASSISTEAL FORMATION;50 boulevard de Ménilmontant 75020 PARIS;50 boulevard de Ménilmontant;75;75020;PARIS;Accompagnant éducatif et social;DEAES;56033207;3;1 an;36.0;48.863364, 2.387363
social;Paris;ASSOFAC;750029399;ASSOFAC;ASSOFAC;43 bis rue d'Hautpoul 75019 PARIS;PARIS;NC;ASSOFAC;43 bis rue d'Hautpoul 75019 PARIS;43 bis rue d'Hautpoul;75;75019;PARIS;Accompagnant éducatif et social;DEAES;56033207;3;1 an;75.0;48.883793, 2.387579
social;Versailles;ASSOCIATION DU CENTRE DE FORMATION DE L'ESSONNE;910003649;CENTRE DE FORMATION DE L'ESSONNE;CFE;23 rue des Ateliers - 91350 GRIGNY;GRIGNY;NC;CFE;23 rue des Ateliers - 91350 GRIGNY;23 rue des Ateliers;91;91350;GRIGNY;Accompagnant éducatif et social;DEAES;56033205;3;1 an;175.0;48.650387, 2.378179
social;Paris;ASSOCIATION POUR LA GESTION DU CENTRE DE FORMATION SAINT-HONORE;750814592;CENTRE DE FORMATION SAINT-HONORE;STHO;42-44rue de Romainville - 75019 PARIS;PARIS;0754908C;CENTRE DE FORMATION SAINT-HONORE;42-44 rue de Romainville - 75019 PARIS;42 rue de Romainville;75;75019;PARIS;Assistant familial;DEAF;-;3;2 ans;25.0;48.877399, 2.400625
social;Créteil;CERPE - CENTRE D'ETUDE ET DE RECHERCHE POUR LA PETITE ENFANCE;930811393;CENTRE D'ETUDE ET DE RECHERCHE POUR LA PETITE ENFANCE;CERPE;52 rue Charles Tillon - 93300 AUBERVILLIERS;AUBERVILLIERS;0932014J;CERPE;52 rue Charles Tillon - 93300 AUBERVILLIERS;52 rue Charles Tillon;93;93300;AUBERVILLIERS;Accompagnant éducatif et social;DEAES;56033207;3;1 an;25.0;48.917289, 2.393309
social;Versailles;CENTRE PROTESTANT DE COMMUNICATION ET DE VIE;950808931;CENTRE PEDAGOGIQUE POUR CONSTRUIRE UNE VIE ACTIVE;CPCV IDF;7 Rue du Château de la Chasse, 95390 SAINT-PRIX;SAINT PRIX;NC;CPCV ILE DE FRANCE;171 avenue de la Division Leclerc 95880 ENGHEIN LES BAINS;171 avenue de la Division Leclerc;95;95880;ENGHIEN LES BAINS;Accompagnant éducatif et social;DEAES;56033204;3;1 an;152.0;48.976708, 2.307293
social;Versailles;ASSOCIATION ECOLE PRATIQUE DE SERVICE SOCIAL;950809095;ECOLE PRATIQUE DE SERVICE SOCIAL;EPSS;139 boulevard du Montparnasse - 75006 PARIS;PARIS;0753597C;EPSS - CERGY;13 boulevard de l'Hautil - 95000 CERGY;13 boulevard de l'Hautil;95;95000;CERGY PONTOISE;Accompagnant éducatif et social;DEAES;56033205;3;1 an;50.0;49.037347, 2.086444
social;Versailles;ASSOCIATION ECOLE PRATIQUE DE SERVICE SOCIAL;950809095;ECOLE PRATIQUE DE SERVICE SOCIAL;EPSS;139 boulevard du Montparnasse - 75006 PARIS;PARIS;0753597C;EPSS - CERGY;13 boulevard de l'Hautil - 95000 CERGY;13 bd de l'Hautil;95;95000;CERGY PONTOISE;Certificat d'aptitude aux fonctions d'encadrement et de responsable d'unité d'intervention sociale;CAFERUIS;26033207;6;2 ans;40.0;49.037347, 2.086444
social;Versailles;ASSOCIATION ECOLE PRATIQUE DE SERVICE SOCIAL;950809095;ECOLE PRATIQUE DE SERVICE SOCIAL;EPSS;139 boulevard du Montparnasse - 75006 PARIS;PARIS;0753597C;EPSS - CERGY;13 bd de l'Hautil – 95000 CERGY;13 bd de l'Hautil;95;95000;CERGY PONTOISE;Educateur Jeunes Enfants;DEEJE;26033203;6;3 ans;60.0;49.037347, 2.086444
social;Versailles;ASSOCIATION ECOLE PRATIQUE DE SERVICE SOCIAL;950809095;ECOLE PRATIQUE DE SERVICE SOCIAL;EPSS;139 boulevard du Montparnasse - 75006 PARIS;PARIS;0753597C;EPSS - CERGY;13 boulevard de l'Hautil - 95000 CERGY;13 bd de l'Hautil;95;95000;CERGY PONTOISE;Moniteur éducateur;DEME;46033202;4;2 ans;75.0;49.037347, 2.086444
social;Paris;ASSOCIATION DES SURINTENDANTES D'USINES ET DE SERVICES SOCIAUX;750814527;ECOLE SUPERIEURE DE TRAVAIL SOCIAL;ETSUP;Tour Maine Montparnasse - 33 avenue du Maine - 75015 PARIS;PARIS;0753602H;Ecole Supérieure de Travail Social;Tour Maine Montparnasse - 33 avenue du Maine - 75015 PARIS;33 avenue du Maine;75;75015;PARIS;Assistant familial;DEAF;-;3;2 ans;90.0;48.842274, 2.32124
social;Paris;ASSOCIATION DES SURINTENDANTES D'USINES ET DE SERVICES SOCIAUX;750814527;ECOLE SUPERIEURE DE TRAVAIL SOCIAL;ETSUP;Tour Maine Montparnasse - 33 avenue du Maine - 75015 PARIS;PARIS;0753602H;Ecole Supérieure de Travail Social;Tour Maine Montparnasse - 33 avenue du Maine - 75015 PARIS;33 avenue du Maine;75;75015;PARIS;Certificat d'aptitude aux fonctions d'encadrement et de responsable d'unité d'intervention sociale;CAFERUIS;26033207;6;2 ans;20.0;48.842274, 2.32124
social;Versailles;GRETA DU VAL D'OISE / LYCEE POLYVALENT GUSTAVE MONOD;-;GRETA DU VAL D'OISE / LYCEE POLYVALENT GUSTAVE MONOD;GRETA DU 95;71 avenue de Ceinture 95880 ENGHIEN LES BAINS;ENGHEIN LES BAINS;0950688G;Lycée Louis JOUVET;26 rue de Saint Prix 95150 TAVERNY;26 rue de Saint Prix;95;95150;TAVERNY;Accompagnant éducatif et social;DEAES;56033207;3;1 an;26.0;49.019492, 2.208603
social;Versailles;Association IFEP;920019908;IFEP FORMATION;IFEP;53 Rue du Révérend P. C. Gilbert 92600 ASNIERES/SEINE;ASNIERES/SEINE;NC;Centre de formation en travail social IFEP;53 Rue du Révérend P. C. Gilbert 92600 ASNIERES/SEINE;53 Rue du Révérend P. C. Gilbert;92;92600;ASNIERES SUR SEINE;Moniteur éducateur;DEME;46033202;4;2 ans;15.0;48.915367, 2.28575
social;Versailles;INITIATIVES;920000080;INITIATIVES;INITIATIVES;43 Bd Maréchal Joffre - 92340 BOURG LA REINE;BOURG-LA-REINE;NC;INITIATIVES;43 Bd Maréchal Joffre - 92340 BOURG LA REINE;43 Bd Maréchal Joffre;92;92340;BOURG LA REINE;Moniteur éducateur;DEME;46033202;4;2 ans;30.0;48.782796, 2.315144
social;Créteil;FONDATION INFA;940020183;INSTITUT NATIONAL DE FORMATION ET D'APPLICATION;INFA;12 Avenue de Val de Fontenay - 94120 FONTENAY-SOUS-BOIS;FONTENAY SOUS BOIS;0941869W;INFA;12 Avenue de Val de Fontenay - 94120 FONTENAY-SOUS-BOIS;12 Avenue de Val de Fontenay;94;94120;FONTENAY-SOUS-BOIS;Accompagnant éducatif et social;DEAES;56033207;3;1 an;60.0;48.85339, 2.48769
social;Créteil;FONDATION INFA;940020183;INSTITUT NATIONAL DE FORMATION ET D'APPLICATION;INFA;12 Avenue de Val de Fontenay - 94120 FONTENAY-SOUS-BOIS;FONTENAY SOUS BOIS;0941869W;INFA;12 Avenue de Val de Fontenay - 94120 FONTENAY-SOUS-BOIS;12 Avenue de Val de Fontenay;94;94120;FONTENAY-SOUS-BOIS;Educateur Spécialisé;DEES;26033202;6;3 ans;50.0;48.85339, 2.48769
social;Versailles;FONDATION ITSRS;920806890;IRTS IDF MONTROUGE - NEUILLY/MARNE;IRTS IDF;1 rue du 11 Novembre 92120 MONTROUGE;MONTROUGE;0922116A;IRTS IDF MONTROUGE - NEUILLY/MARNE - Site de Montrouge;1 rue du 11 Novembre 92120 MONTROUGE;1 rue du 11 Novembre;92;92120;MONTROUGE;Accompagnant éducatif et social;DEAES;56033207;3;1 an;18.0;48.820512, 2.316937
social;Créteil;FONDATION ITSRS;920806890;IRTS IDF MONTROUGE - NEUILLY/MARNE;IRTS IDF;150 avenue Paul-Vaillant Couturier 93330 NEUILLY-SUR-MARNE;NEUILLY-SUR-MARNE;0932755P;IRTS IDF MONTROUGE - NEUILLY/MARNE - Site Neuilly/Marne;150 avenue Paul-Vaillant Couturier - 93330 NEUILLY-SUR-MARNE;150 avenue Paul-Vaillant Couturier;93;93330;NEUILLY SUR MARNE;Educateur Spécialisé;DEES;26033202;6;3 ans;90.0;48.866455, 2.561007
social;Créteil;ASSOCIATION INSTITUT PARMENTIER;750826356;IRTS PARIS IDF PARMENTIER;IRTS PARMENTIER;8 bis, rue Eugène Gonon – 77000 MELUN;MELUN;NC;IRTS PARIS IDF - Etablissement de Melun;8 bis, rue Eugène Gonon – 77000 MELUN;8 bis Eugène Gonon;77;77000;MELUN;Educateur Jeunes Enfants;DEEJE;26033203;6;3 ans;30.0;48.52979, 2.65843
social;Paris;LEGTP INSTITUT SUPERIEUR CLORIVIERE;750043580;INSTITUT SUPERIEUR CLORIVIERE;ISC;119 boulevard Diderot - 75012 PARIS;PARIS;0751883P;LEGTP Institut supérieur Clorivière;"119 boulevard Diderot
75012 PARIS";119 boulevard Diderot;75;75012;PARIS;Conseiller en Economie Sociale et Familiale;DECESF;26033206;6;1 an;48.0;48.84801, 2.391266
social;Paris;VYV3 Ile-de-France;750055568;VYV3 Ile-de-France;V3IDF;26 boulevard Brune - 75014 PARIS;PARIS;NC;V3IDF - Pôle Enseignement et Formation;26 boulevard Brune 75014 PARIS;26 boulevard Brune;75;75014;PARIS;Accompagnant éducatif et social;DEAES;56033207;3;1 an;25.0;48.826968, 2.307768
sanitaire;Paris;ABC PUERICULTURE;750032039;ABC PUERICULTURE;;;;;ABC PUERICULTURE;;91 RUE DU FAUBOURG SAINT MARTIN;75;75010;PARIS;Auxiliaire de puériculture (AP);;56033103T;4;1 an;56.0;48.873114, 2.357824
sanitaire;Versailles;APHP - Beaujon;920009958;APHP - Beaujon;;;;;APHP - Beaujon;;100 BD DU GENERAL LECLERC;92;92110;CLICHY LA GARENNE;Infirmier (IDE);;36033102T;6;3 ans;105.0;48.907535, 2.30849
sanitaire;Créteil;APHP - Avicenne - Jean Verdier;930811294;APHP - Avicenne - Jean Verdier;;;;;APHP - Avicenne - Jean Verdier;;1 promenade Jean ROSTAND;93;93000;BOBIGNY;Infirmier (IDE);;36033102T;6;3 ans;220.0;48.908234, 2.453072
sanitaire;Paris;CFRP Valentin HAÜY - Centre de Formation et de Rééducation Professionnelle;750814279;CFRP Valentin HAÜY - Centre de Formation et de Rééducation Professionnelle;;;;;CFRP Valentin HAÜY - Centre de Formation et de Rééducation Professionnelle;;3 RUE DUROC;75;75007;PARIS;Masseur Kinésithérapeute (MK);;36033109T;7;3 ans;100.0;48.847803, 2.314185
sanitaire;Créteil;GHEF - CH de Coulommiers (école) - GRAND HOPITAL DE L'EST FRANCILIEN;770008878;GHEF - CH de Coulommiers (école) - GRAND HOPITAL DE L'EST FRANCILIEN;;;;;GHEF - CH de Coulommiers (école) - GRAND HOPITAL DE L'EST FRANCILIEN;;28 AVENUE VICTOR HUGO;77;77120;COULOMMIERS;Infirmier (IDE);;36033102T;6;3 ans;66.0;48.814504, 3.08278
sanitaire;Créteil;GHEF - CH de Meaux - GRAND HOPITAL DE L'EST FRANCILIEN;770008928;GHEF - CH de Meaux - GRAND HOPITAL DE L'EST FRANCILIEN;;;;;GHEF - CH de Meaux - GRAND HOPITAL DE L'EST FRANCILIEN;;17 RUE GUILLAUME BRIÇONNET;77;77100;MEAUX;Aide soignant (AS);;56033102T;4;1 an;44.0;48.948116, 2.895929
sanitaire;Versailles;CH de Rambouillet;780009858;CH de Rambouillet;;;;;CH de Rambouillet;;5 RUE PIERRE ET MARIE CURIE;78;78120;RAMBOUILLET;Aide soignant (AS);;56033102T;4;1 an;40.0;48.652326, 1.826848
sanitaire;Créteil;CH les MURETS - Séraphine de Senlis;940000615;CH les MURETS - Séraphine de Senlis;;;;;CH les MURETS - Séraphine de Senlis;;17 RUE DU GENERAL LECLERC;94;94510;LA QUEUE-EN-BRIE;Infirmier (IDE);;36033102T;6;3 ans;90.0;48.785835, 2.580475
sanitaire;Versailles;"CHSF-GHSF sud francilien
Evry";910005719;"CHSF-GHSF sud francilien
Evry";;;;;"CHSF-GHSF sud francilien
Evry";;2 rue Pierre Fontaine;91;91100;EVRY;Manipulateur en électroradiologie médicale (MEM);;36033108T;6;3 ans;45.0;48.612822, 2.483239
sanitaire;Paris;CRF école de la CROIX ROUGE FRANCAISE;750017709;CRF école de la CROIX ROUGE FRANCAISE;;;;;CRF école de la CROIX ROUGE FRANCAISE;;96 RUE DIDOT;75;75014;PARIS;Cadre de santé (CS);;;6;1 an;88.0;48.827586, 2.314743
sanitaire;Versailles;école D'ASSAS;;école D'ASSAS;;;;;école D'ASSAS;;2 BOULEVARD VAUBAN;78;78180;MONTIGNY-LE-BRETONNEUX;Masseur Kinésithérapeute (MK);;36033109T;7;3 ans;32.0;48.784248, 2.045314
sanitaire;Versailles;école Jeanne BLUM;780826095;école Jeanne BLUM;;;;;école Jeanne BLUM;;19 RUE VICTOR;78;78350;JOUY EN JOSAS;Aide soignant (AS);;56033102T;4;1 an;50.0;48.772268, 2.163775
sanitaire;Paris;EFOM - Boris DOLTO;750018418;EFOM - Boris DOLTO;;;;;EFOM - Boris DOLTO;;118 BIS RUE DE JAVEL;75;75015;PARIS;Masseur Kinésithérapeute (MK);;36033109T;7;3 ans;90.0;48.843356, 2.287277
sanitaire;Créteil;fondation de l'oeuvre de la CROIX SAINT SIMON - FOCSS - Institut de formations paramédicales et sociales (IFPS);750712341;fondation de l'oeuvre de la CROIX SAINT SIMON - FOCSS - Institut de formations paramédicales et sociales (IFPS);;;;;fondation de l'oeuvre de la CROIX SAINT SIMON - FOCSS - Institut de formations paramédicales et sociales (IFPS);;81 RUE MICHELET;93;93100;MONTREUIL;Aide soignant (AS);;56033102T;4;1 an;105.0;48.853028, 2.428714
sanitaire;Versailles;fondation Léonie CHAPTAL;950802652;fondation Léonie CHAPTAL;;;;;fondation Léonie CHAPTAL;;19 RUE JEAN LURCAT;95;95200;SARCELLES;Auxiliaire de puériculture (AP);;56033103T;4;1 an;85.0;48.98246, 2.391343
sanitaire;Versailles;GHNE - Groupe Hospitalier Nord Essonne (IFPM);910805159;GHNE - Groupe Hospitalier Nord Essonne (IFPM);;;;;GHNE - Groupe Hospitalier Nord Essonne (IFPM);;8 BIS RUE MAURICE;91;91160;LONGJUMEAU;Aide soignant (AS);;56033102T;4;1 an;66.0;48.694114, 2.287379
sanitaire;Créteil;GRETA MTI 77 - lycée Jean Moulin;770016574;GRETA MTI 77 - lycée Jean Moulin;;;;;GRETA MTI 77 - lycée Jean Moulin;;6 AVENUE JEAN MOULIN;77;77200;TORCY;Auxiliaire de puériculture (AP);;56033103T;4;1 an;60.0;48.836079, 2.657643
sanitaire;Créteil;IFAC 92- Institut de formation d'animation et de conseil (77);770017408;IFAC 92- Institut de formation d'animation et de conseil (77);;;;;IFAC 92- Institut de formation d'animation et de conseil (77);;17 RUE PIERRE ET MARIE CURIE;77;77380;COMBS-LA-VILLE;Auxiliaire de puériculture (AP);;56033103T;4;1 an;26.0;48.651805, 2.562144
sanitaire;Paris;IFMK Saint-Michel;750814212;IFMK Saint-Michel;;;;;IFMK Saint-Michel;;68 RUE DU COMMERCE;75;75015;PARIS;Masseur Kinésithérapeute (MK);;36033109T;7;3 ans;46.0;48.845594, 2.294547
sanitaire;Créteil;IFITS - Institut de Formation Interhospitalier Théodore Simon;930011549;IFITS - Institut de Formation Interhospitalier Théodore Simon;;;;;IFITS - Institut de Formation Interhospitalier Théodore Simon;;19 AVENUE DE MAISON BLANCHE;93;93330;NEUILLY-SUR-MARNE;Infirmier anesthésiste (IADE);;;7;2 ans;25.0;48.866637, 2.554528
sanitaire;Créteil;lycée André Malraux;;lycée André Malraux;;;;;lycée André Malraux;;4 AVENUE DU LYCEE;77;77130;MONTEREAU-FAULT-YONNE;Aide soignant (AS);;56033102T;4;1 an;15.0;48.394033, 2.959274
sanitaire;Créteil;lycée Armand Guillaumin (Orly) - Greta MTI94;940008758;lycée Armand Guillaumin (Orly) - Greta MTI94;;;;;lycée Armand Guillaumin (Orly) - Greta MTI94;;13 rue Lebrun;94;94400;VITRY-SUR-SEINE;Aide soignant (AS);;56033102T;4;1 an;75.0;48.782917, 2.381992
sanitaire;Créteil;lycée Arthur Rimbaud;;lycée Arthur Rimbaud;;;;;lycée Arthur Rimbaud;;112 AVENUE JEAN JAURES;93;93120;LA COURNEUVE;Aide soignant (AS);;56033102T;4;1 an;20.0;48.921682, 2.408371
sanitaire;Versailles;lycée Charles Baudelaire;;lycée Charles Baudelaire;;;;;lycée Charles Baudelaire;;3 AVENUE DE LA LIBERTE;91;91000;EVRY;Auxiliaire de puériculture (AP);;56033103T;4;1 an;24.0;48.637997, 2.435283
sanitaire;Versailles;lycée Fernand et Nadia Léger;;lycée Fernand et Nadia Léger;;;;;lycée Fernand et Nadia Léger;;7 ALLEE FERNAND ET NADIA LEGER;95;95100;ARGENTEUIL;Auxiliaire de puériculture (AP);;56033103T;4;1 an;48.0;48.951595, 2.226456
sanitaire;Créteil;lycée Lino Ventura;;lycée Lino Ventura;;;;;lycée Lino Ventura;;AVENUE MARCEL PAGNOL;77;77330;OZOIR-LA-FERRIERE;Aide soignant (AS);;56033102T;4;1 an;18.0;48.760987, 2.692681
sanitaire;Créteil;lycée Lucie Aubrac (anc Félix Faure);;lycée Lucie Aubrac (anc Félix Faure);;;;;lycée Lucie Aubrac (anc Félix Faure);;51 RUE VICTOR HUGO;93;93500;PANTIN;Auxiliaire de puériculture (AP);;56033103T;4;1 an;24.0;48.893951, 2.408074
